,date,close,open,high,low,ohcl_avg,name
0,2023-03-01,3951.39,3963.34,3971.73,3939.05,3956.3775,spx
1,2023-02-28,3970.15,3977.19,3997.5,3968.98,3978.455,spx
2,2023-02-27,3982.24,3992.36,4018.05,3973.55,3991.55,spx
3,2023-02-24,3970.04,3973.24,3978.25,3943.08,3966.1525,spx
4,2023-02-23,4012.32,4018.6,4028.3,3969.19,4007.1025,spx
5,2023-02-22,3991.05,4001.83,4017.37,3976.9,3996.7875,spx
6,2023-02-21,3997.34,4052.35,4052.35,3995.19,4024.3075,spx
7,2023-02-17,4079.09,4077.39,4081.51,4047.95,4071.485,spx
8,2023-02-16,4090.41,4114.75,4136.54,4089.49,4107.797500000001,spx
9,2023-02-15,4147.6,4119.5,4148.11,4103.98,4129.797500000001,spx
10,2023-02-14,4136.13,4126.7,4159.77,4095.01,4129.4025,spx
11,2023-02-13,4137.29,4096.62,4138.9,4092.67,4116.370000000001,spx
12,2023-02-10,4090.46,4068.92,4094.36,4060.79,4078.6325000000006,spx
13,2023-02-09,4081.5,4144.25,4156.23,4069.67,4112.9125,spx
14,2023-02-08,4117.86,4153.47,4156.85,4111.67,4134.9625,spx
15,2023-02-07,4164.0,4105.35,4176.54,4088.39,4133.57,spx
16,2023-02-06,4111.08,4119.57,4124.63,4093.38,4112.165,spx
17,2023-02-03,4136.48,4136.69,4182.36,4123.36,4144.7225,spx
18,2023-02-02,4179.76,4158.68,4195.44,4141.88,4168.94,spx
19,2023-02-01,4119.21,4070.07,4148.95,4037.2,4093.8575,spx
20,2023-01-31,4076.6,4020.85,4077.16,4020.44,4048.7625,spx
21,2023-01-30,4017.77,4049.27,4063.85,4015.55,4036.61,spx
22,2023-01-27,4070.56,4053.72,4094.21,4048.7,4066.7975,spx
23,2023-01-26,4060.43,4036.08,4061.57,4013.29,4042.8425,spx
24,2023-01-25,4016.22,3982.71,4019.55,3949.06,3991.885,spx
25,2023-01-24,4016.95,4001.74,4023.92,3989.79,4008.1,spx
26,2023-01-23,4019.81,3978.14,4039.31,3971.64,4002.225,spx
27,2023-01-20,3972.61,3909.04,3972.96,3897.86,3938.1175,spx
28,2023-01-19,3898.85,3911.84,3922.94,3885.54,3904.792500000001,spx
29,2023-01-18,3928.86,4002.25,4014.16,3926.59,3967.965,spx
30,2023-01-17,3990.97,3999.28,4015.39,3984.57,3997.5525,spx
31,2023-01-13,3999.09,3960.6,4003.95,3947.67,3977.8275,spx
32,2023-01-12,3983.17,3977.57,3997.76,3937.56,3974.015,spx
33,2023-01-11,3969.61,3932.35,3970.07,3928.54,3950.1425,spx
34,2023-01-10,3919.25,3888.57,3919.83,3877.29,3901.235,spx
35,2023-01-09,3892.09,3910.82,3950.57,3890.42,3910.975,spx
36,2023-01-06,3895.08,3823.37,3906.19,3809.56,3858.55,spx
37,2023-01-05,3808.1,3839.74,3839.74,3802.42,3822.5,spx
38,2023-01-04,3852.97,3840.36,3873.16,3815.77,3845.565,spx
39,2023-01-03,3824.14,3853.29,3878.46,3794.33,3837.555,spx
40,2022-12-30,3839.5,3829.06,3839.85,3800.34,3827.1875,spx
41,2022-12-29,3849.28,3805.45,3858.19,3805.45,3829.5925,spx
42,2022-12-28,3783.22,3829.56,3848.32,3780.78,3810.47,spx
43,2022-12-27,3829.25,3843.34,3846.65,3813.22,3833.115,spx
44,2022-12-23,3844.82,3815.11,3845.8,3797.01,3825.685,spx
45,2022-12-22,3822.39,3853.26,3853.26,3764.49,3823.35,spx
46,2022-12-21,3878.44,3839.49,3889.82,3839.49,3861.81,spx
47,2022-12-20,3821.62,3810.47,3838.24,3795.62,3816.4874999999993,spx
48,2022-12-19,3817.66,3853.79,3854.86,3800.04,3831.5875,spx
49,2022-12-16,3852.36,3890.91,3890.91,3827.91,3865.5225,spx
50,2022-12-15,3895.75,3958.37,3958.37,3879.45,3922.985,spx
51,2022-12-14,3995.32,4015.54,4053.76,3965.65,4007.5675,spx
52,2022-12-13,4019.65,4069.38,4100.96,3993.03,4045.755,spx
53,2022-12-12,3990.56,3939.29,3990.71,3935.3,3963.965,spx
54,2022-12-09,3934.38,3954.17,3977.02,3933.04,3949.6525,spx
55,2022-12-08,3963.51,3947.79,3974.19,3935.83,3955.33,spx
56,2022-12-07,3933.92,3933.28,3957.57,3922.68,3936.8625,spx
57,2022-12-06,3941.26,3996.63,4001.51,3918.39,3964.4475,spx
58,2022-12-05,3998.84,4052.02,4052.45,3984.49,4021.95,spx
59,2022-12-02,4071.7,4040.17,4080.48,4026.63,4054.745,spx
60,2022-12-01,4076.57,4087.14,4100.51,4050.87,4078.7725,spx
61,2022-11-30,4080.11,3957.18,4080.11,3938.58,4013.995,spx
62,2022-11-29,3957.63,3964.19,3976.77,3937.65,3959.06,spx
63,2022-11-28,3963.94,4005.36,4012.27,3955.77,3984.335,spx
64,2022-11-25,4026.12,4023.34,4034.02,4020.76,4026.06,spx
